file,power,total_persistence,total_persistence_normalized,infinity_norm,average_persistence
't02_segment_branch_persistence_min.txt',2,0,-nan,0,-nan
't03_segment_branch_persistence_min.txt',2,2,1,1,0
't04_segment_branch_persistence_min.txt',2,8,1.6,2,-0.4
't05_segment_branch_persistence_min.txt',2,13,1.85714,2,-0.714286
't06_segment_branch_persistence_min.txt',2,13,1.85714,2,-0.428571
't07_segment_branch_persistence_min.txt',2,10,1.42857,2,-0.571429
't08_segment_branch_persistence_min.txt',2,41,2.73333,3,-0.466667
't09_segment_branch_persistence_min.txt',2,61,3.38889,4,-1.05556
't10_segment_branch_persistence_min.txt',2,61,3.38889,4,-1.05556
't11_segment_branch_persistence_min.txt',2,79,3.03846,3,-0.807692
't12_segment_branch_persistence_min.txt',2,80,3.07692,4,-0.846154
't13_segment_branch_persistence_min.txt',2,167,4.77143,5,-1.4
't14_segment_branch_persistence_min.txt',2,191,4.65854,5,-1.29268
't15_segment_branch_persistence_min.txt',2,171,4.07143,6,-1.02381
't16_segment_branch_persistence_min.txt',2,247,5.36957,6,-1.36957
't17_segment_branch_persistence_min.txt',2,224,4.14815,4,-0.851852
't18_segment_branch_persistence_min.txt',2,300,5,6,-1.2
't19_segment_branch_persistence_min.txt',2,335,5.07576,5,-1.40909
't20_segment_branch_persistence_min.txt',2,658,8.32911,10,-1.64557
't21_segment_branch_persistence_min.txt',2,797,9.4881,12,-1.79762
't22_segment_branch_persistence_min.txt',2,1176,13.6744,13,-2.09302
't23_segment_branch_persistence_min.txt',2,1249,13.1474,13,-1.90526
't24_segment_branch_persistence_min.txt',2,1154,11.2039,10,-1.5534
't25_segment_branch_persistence_min.txt',2,1093,10.0275,9,-1.55046
't26_segment_branch_persistence_min.txt',2,1627,13.7881,14,-1.78814
't27_segment_branch_persistence_min.txt',2,1867,15.1789,19,-1.78049
't28_segment_branch_persistence_min.txt',2,1886,14.5077,14,-1.73846
't29_segment_branch_persistence_min.txt',2,1501,12.8291,15,-1.87179
't30_segment_branch_persistence_min.txt',2,2273,16.9627,17,-1.66418
't31_segment_branch_persistence_min.txt',2,1684,12.6617,15,-1.5188
't32_segment_branch_persistence_min.txt',2,2101,14.5903,13,-1.72917
't33_segment_branch_persistence_min.txt',2,1334,10.5039,11,-1.62205
't34_segment_branch_persistence_min.txt',2,1230,9.38931,11,-1.52672
't35_segment_branch_persistence_min.txt',2,1766,12.8905,14,-1.47445
't36_segment_branch_persistence_min.txt',2,1640,11.5493,12,-1.4507
't37_segment_branch_persistence_min.txt',2,1740,11.2987,11,-1.58442
't38_segment_branch_persistence_min.txt',2,1410,9.52703,8,-1.39189
't39_segment_branch_persistence_min.txt',2,1901,12.3442,12,-1.57792
't40_segment_branch_persistence_min.txt',2,1902,12.7651,11,-1.57047
't41_segment_branch_persistence_min.txt',2,2217,14.3032,12,-1.58065
't42_segment_branch_persistence_min.txt',2,1836,12.4054,11,-1.44595
't43_segment_branch_persistence_min.txt',2,2404,13.8161,15,-1.78161
't44_segment_branch_persistence_min.txt',2,1916,11.4731,12,-1.1497
't45_segment_branch_persistence_min.txt',2,2319,12.6033,13,-1.32065
't46_segment_branch_persistence_min.txt',2,2846,15.5519,19,-1.56284
't47_segment_branch_persistence_min.txt',2,2690,14.6196,17,-1.51087
't48_segment_branch_persistence_min.txt',2,3501,18.2344,18,-1.56771
't49_segment_branch_persistence_min.txt',2,2709,15.1341,15,-1.59218
't50_segment_branch_persistence_min.txt',2,2511,13.573,18,-1.55135
't51_segment_branch_persistence_min.txt',2,3371,16.6881,17,-1.70792
't52_segment_branch_persistence_min.txt',2,2548,12.74,12,-1.42
't53_segment_branch_persistence_min.txt',2,2666,13.4646,17,-1.17172
't54_segment_branch_persistence_min.txt',2,2912,14.2049,16,-1.4439
't55_segment_branch_persistence_min.txt',2,2290,12.0526,15,-1.45263
