file,power,total_persistence,total_persistence_normalized,infinity_norm,average_persistence
't02_segment_branch_persistence_max.txt',2,0,-nan,0,-nan
't03_segment_branch_persistence_max.txt',2,0,-nan,0,-nan
't04_segment_branch_persistence_max.txt',2,0,-nan,0,-nan
't05_segment_branch_persistence_max.txt',2,3,1,1,0.333333
't06_segment_branch_persistence_max.txt',2,18,2,2,0.888889
't07_segment_branch_persistence_max.txt',2,23,2.09091,2,0.454545
't08_segment_branch_persistence_max.txt',2,50,3.57143,3,1.14286
't09_segment_branch_persistence_max.txt',2,93,4.22727,5,1.31818
't10_segment_branch_persistence_max.txt',2,169,6.25926,6,1.66667
't11_segment_branch_persistence_max.txt',2,252,8.12903,7,2
't12_segment_branch_persistence_max.txt',2,262,7.70588,8,1.82353
't13_segment_branch_persistence_max.txt',2,386,9.41463,8,2.14634
't14_segment_branch_persistence_max.txt',2,537,10.5294,9,2.13725
't15_segment_branch_persistence_max.txt',2,747,13.5818,11,2.34545
't16_segment_branch_persistence_max.txt',2,993,15.7619,12,2.5873
't17_segment_branch_persistence_max.txt',2,916,15.5254,11,2.74576
't18_segment_branch_persistence_max.txt',2,963,16.05,9,2.91667
't19_segment_branch_persistence_max.txt',2,1139,16.75,12,2.89706
't20_segment_branch_persistence_max.txt',2,1536,18.963,15,2.91358
't21_segment_branch_persistence_max.txt',2,1518,20.24,15,3.06667
't22_segment_branch_persistence_max.txt',2,1881,20.2258,15,2.91398
't23_segment_branch_persistence_max.txt',2,1980,21.0638,17,3.12766
't24_segment_branch_persistence_max.txt',2,2455,23.835,18,3.13592
't25_segment_branch_persistence_max.txt',2,2212,23.5319,18,3.10638
't26_segment_branch_persistence_max.txt',2,3323,34.9789,19,3.52632
't27_segment_branch_persistence_max.txt',2,3985,35.9009,19,3.7027
't28_segment_branch_persistence_max.txt',2,5186,45.4912,20,4.45614
't29_segment_branch_persistence_max.txt',2,4860,38.5714,19,4.14286
't30_segment_branch_persistence_max.txt',2,4873,34.5603,20,3.9078
't31_segment_branch_persistence_max.txt',2,5603,40.0214,20,4.43571
't32_segment_branch_persistence_max.txt',2,5438,39.4058,23,4.14493
't33_segment_branch_persistence_max.txt',2,5389,39.0507,23,4.15217
't34_segment_branch_persistence_max.txt',2,6295,43.7153,22,4.22917
't35_segment_branch_persistence_max.txt',2,7349,48.0327,22,4.6732
't36_segment_branch_persistence_max.txt',2,7200,43.1138,22,4.47904
't37_segment_branch_persistence_max.txt',2,7903,47.897,27,4.74545
