file,power,total_persistence,total_persistence_normalized,infinity_norm,average_persistence
't02_segment_branch_persistence_min.txt',2,0,-nan,0,-nan
't03_segment_branch_persistence_min.txt',2,0,-nan,0,-nan
't04_segment_branch_persistence_min.txt',2,0,-nan,0,-nan
't05_segment_branch_persistence_min.txt',2,3,1,1,-0.333333
't06_segment_branch_persistence_min.txt',2,13,1.85714,2,-0.428571
't07_segment_branch_persistence_min.txt',2,38,2.92308,3,-0.923077
't08_segment_branch_persistence_min.txt',2,59,4.21429,4,-1.21429
't09_segment_branch_persistence_min.txt',2,92,4.6,5,-1.2
't10_segment_branch_persistence_min.txt',2,142,6.17391,6,-1.47826
't11_segment_branch_persistence_min.txt',2,163,7.08696,6,-1.86957
't12_segment_branch_persistence_min.txt',2,308,8.55556,7,-1.77778
't13_segment_branch_persistence_min.txt',2,421,10.525,9,-2.025
't14_segment_branch_persistence_min.txt',2,443,11.359,10,-1.82051
't15_segment_branch_persistence_min.txt',2,747,15.5625,11,-2.1875
't16_segment_branch_persistence_min.txt',2,561,11.9362,11,-2.14894
't17_segment_branch_persistence_min.txt',2,756,15.12,13,-2.28
't18_segment_branch_persistence_min.txt',2,760,13.1034,11,-2.41379
't19_segment_branch_persistence_min.txt',2,1085,20.8654,13,-2.78846
't20_segment_branch_persistence_min.txt',2,1082,19.6727,13,-2.8
't21_segment_branch_persistence_min.txt',2,1681,24.0143,16,-2.81429
't22_segment_branch_persistence_min.txt',2,1813,25.5352,16,-3.16901
't23_segment_branch_persistence_min.txt',2,1995,25.2532,16,-2.8481
't24_segment_branch_persistence_min.txt',2,2348,29.35,17,-3.075
't25_segment_branch_persistence_min.txt',2,2201,28.2179,18,-2.98718
't26_segment_branch_persistence_min.txt',2,2302,29.5128,18,-3.28205
't27_segment_branch_persistence_min.txt',2,2063,23.9884,15,-3.31395
't28_segment_branch_persistence_min.txt',2,2125,23.3516,17,-3.02198
't29_segment_branch_persistence_min.txt',2,2280,24.5161,14,-3.1828
't30_segment_branch_persistence_min.txt',2,2726,27.8163,20,-3
't31_segment_branch_persistence_min.txt',2,2754,26.7379,18,-3.08738
't32_segment_branch_persistence_min.txt',2,3566,33.6415,21,-3.56604
't33_segment_branch_persistence_min.txt',2,3393,32.3143,22,-3.22857
't34_segment_branch_persistence_min.txt',2,3632,31.5826,23,-3.11304
't35_segment_branch_persistence_min.txt',2,3197,27.5603,22,-3.09483
't36_segment_branch_persistence_min.txt',2,3576,28.1575,20,-3.24409
't37_segment_branch_persistence_min.txt',2,3466,26.8682,22,-3.08527
