file,power,total_persistence,total_persistence_normalized,infinity_norm,average_persistence
't02_segment_branch_persistence_max.txt',2,0,-nan,0,-nan
't03_segment_branch_persistence_max.txt',2,1,1,1,1
't04_segment_branch_persistence_max.txt',2,5,2.5,2,1.5
't05_segment_branch_persistence_max.txt',2,19,3.8,3,1.8
't06_segment_branch_persistence_max.txt',2,50,5,4,1.8
't07_segment_branch_persistence_max.txt',2,91,7.58333,5,2.41667
't08_segment_branch_persistence_max.txt',2,81,5.78571,5,2.07143
't09_segment_branch_persistence_max.txt',2,158,7.52381,5,2.28571
't10_segment_branch_persistence_max.txt',2,159,6.625,5,2.04167
't11_segment_branch_persistence_max.txt',2,269,8.96667,6,2.63333
't12_segment_branch_persistence_max.txt',2,225,7.5,5,2.43333
't13_segment_branch_persistence_max.txt',2,350,8.33333,6,2.19048
't14_segment_branch_persistence_max.txt',2,488,11.3488,8,2.83721
't15_segment_branch_persistence_max.txt',2,486,11.0455,7,2.81818
't16_segment_branch_persistence_max.txt',2,814,15.9608,9,3.2549
't17_segment_branch_persistence_max.txt',2,677,12.537,9,2.72222
't18_segment_branch_persistence_max.txt',2,958,15.2063,12,2.85714
't19_segment_branch_persistence_max.txt',2,1112,15.2329,13,2.87671
't20_segment_branch_persistence_max.txt',2,1412,19.8873,11,3.52113
't21_segment_branch_persistence_max.txt',2,1588,19.85,11,3.5
't22_segment_branch_persistence_max.txt',2,1338,15.9286,10,3.19048
't23_segment_branch_persistence_max.txt',2,1515,17.4138,10,3.25287
't24_segment_branch_persistence_max.txt',2,1842,19.1875,11,3.5
't25_segment_branch_persistence_max.txt',2,2197,22.8854,12,3.63542
't26_segment_branch_persistence_max.txt',2,2993,27.4587,16,3.80734
't27_segment_branch_persistence_max.txt',2,2783,27.83,19,3.69
't28_segment_branch_persistence_max.txt',2,2577,23.4273,14,3.75455
't29_segment_branch_persistence_max.txt',2,3293,27.4417,19,3.80833
't30_segment_branch_persistence_max.txt',2,3445,29.6983,21,3.90517
't31_segment_branch_persistence_max.txt',2,4327,37.6261,25,4.37391
't32_segment_branch_persistence_max.txt',2,3844,33.7193,23,4.26316
't33_segment_branch_persistence_max.txt',2,4072,33.377,19,4.21311
't34_segment_branch_persistence_max.txt',2,4101,33.3415,26,4.25203
't35_segment_branch_persistence_max.txt',2,4167,35.6154,27,4.07692
't36_segment_branch_persistence_max.txt',2,4907,38.9444,26,4.2619
't37_segment_branch_persistence_max.txt',2,4903,35.7883,26,4.16788
't38_segment_branch_persistence_max.txt',2,5011,37.1185,27,4.18519
't39_segment_branch_persistence_max.txt',2,4733,36.9766,26,4.30469
't40_segment_branch_persistence_max.txt',2,5108,42.5667,28,4.61667
't41_segment_branch_persistence_max.txt',2,5273,38.4891,27,4.37226
't42_segment_branch_persistence_max.txt',2,4883,36.4403,25,4.20149
't43_segment_branch_persistence_max.txt',2,3886,31.088,25,4
't44_segment_branch_persistence_max.txt',2,4289,29.993,23,3.92308
't45_segment_branch_persistence_max.txt',2,6137,39.8506,25,4.35714
't46_segment_branch_persistence_max.txt',2,5318,35.2185,23,4.18543
't47_segment_branch_persistence_max.txt',2,5781,38.2848,23,4.33775
't48_segment_branch_persistence_max.txt',2,6181,36.7917,21,4.06548
't49_segment_branch_persistence_max.txt',2,5977,34.3506,23,4.17816
't50_segment_branch_persistence_max.txt',2,6183,39.6346,30,4.41667
't51_segment_branch_persistence_max.txt',2,6786,41.6319,20,4.55215
't52_segment_branch_persistence_max.txt',2,8100,47.929,24,4.76923
't53_segment_branch_persistence_max.txt',2,7056,39.8644,21,4.53107
't54_segment_branch_persistence_max.txt',2,6348,37.1228,27,4.25731
't55_segment_branch_persistence_max.txt',2,6328,33.8396,21,3.87166
't56_segment_branch_persistence_max.txt',2,7681,42.9106,37,4.43017
't57_segment_branch_persistence_max.txt',2,6728,37.5866,23,4.41341
't58_segment_branch_persistence_max.txt',2,6660,43.8158,21,4.61842
't59_segment_branch_persistence_max.txt',2,6830,45.5333,22,4.65333
't60_segment_branch_persistence_max.txt',2,8531,52.6605,35,5.04321
't61_segment_branch_persistence_max.txt',2,7254,46.2038,26,4.8535
't62_segment_branch_persistence_max.txt',2,7336,48.5828,25,4.83444
't63_segment_branch_persistence_max.txt',2,8342,56.3649,39,5.08108
't64_segment_branch_persistence_max.txt',2,8240,54.5695,39,5.00662
't65_segment_branch_persistence_max.txt',2,7337,46.4367,27,4.57595
't66_segment_branch_persistence_max.txt',2,8546,57.7432,39,4.94595
't67_segment_branch_persistence_max.txt',2,8011,52.0195,29,4.37013
't68_segment_branch_persistence_max.txt',2,8566,52.2317,40,4.60976
't69_segment_branch_persistence_max.txt',2,9052,59.5526,40,4.96053
't70_segment_branch_persistence_max.txt',2,7084,44.8354,25,4.59494
't71_segment_branch_persistence_max.txt',2,7744,42.7845,30,4.64088
't72_segment_branch_persistence_max.txt',2,8084,47.2749,24,4.73684
't73_segment_branch_persistence_max.txt',2,9743,60.8937,35,5.01875
't74_segment_branch_persistence_max.txt',2,8832,50.1818,27,4.86364
't75_segment_branch_persistence_max.txt',2,9390,61.3725,28,5.37255
