file,power,total_persistence,total_persistence_normalized,infinity_norm,average_persistence
't02_segment_branch_persistence_min.txt',2,0,-nan,0,-nan
't03_segment_branch_persistence_min.txt',2,0,-nan,0,-nan
't04_segment_branch_persistence_min.txt',2,1,1,1,1
't05_segment_branch_persistence_min.txt',2,3,1,1,0.333333
't06_segment_branch_persistence_min.txt',2,4,1,1,0.5
't07_segment_branch_persistence_min.txt',2,8,1.6,2,0.8
't08_segment_branch_persistence_min.txt',2,11,1.375,2,0.625
't09_segment_branch_persistence_min.txt',2,11,1.375,2,0.625
't10_segment_branch_persistence_min.txt',2,27,1.8,2,0.866667
't11_segment_branch_persistence_min.txt',2,12,1.33333,2,0.666667
't12_segment_branch_persistence_min.txt',2,26,1.85714,2,0.857143
't13_segment_branch_persistence_min.txt',2,29,1.45,2,0.55
't14_segment_branch_persistence_min.txt',2,35,1.94444,3,0.833333
't15_segment_branch_persistence_min.txt',2,60,2.6087,3,1.13043
't16_segment_branch_persistence_min.txt',2,43,2.15,3,0.85
't17_segment_branch_persistence_min.txt',2,84,3.23077,4,0.769231
't18_segment_branch_persistence_min.txt',2,74,2.3125,3,0
't19_segment_branch_persistence_min.txt',2,116,3.22222,7,0.0555556
't20_segment_branch_persistence_min.txt',2,51,1.7,2,0.366667
't21_segment_branch_persistence_min.txt',2,113,2.825,4,0.325
't22_segment_branch_persistence_min.txt',2,100,2.43902,3,0.439024
't23_segment_branch_persistence_min.txt',2,120,2.66667,4,0
't24_segment_branch_persistence_min.txt',2,126,2.8,5,0.4
't25_segment_branch_persistence_min.txt',2,288,6,8,-0.25
't26_segment_branch_persistence_min.txt',2,312,5.88679,10,0.0754717
't27_segment_branch_persistence_min.txt',2,197,3.64815,6,-0.166667
't28_segment_branch_persistence_min.txt',2,323,6.33333,8,0.529412
't29_segment_branch_persistence_min.txt',2,243,4.58491,8,0.132075
't30_segment_branch_persistence_min.txt',2,176,3.52,6,0.12
't31_segment_branch_persistence_min.txt',2,189,3.85714,6,0.469388
't32_segment_branch_persistence_min.txt',2,209,4.26531,7,0.387755
't33_segment_branch_persistence_min.txt',2,240,4.44444,9,0.148148
't34_segment_branch_persistence_min.txt',2,819,14.8909,22,0.236364
't35_segment_branch_persistence_min.txt',2,708,12.6429,23,0.0357143
't36_segment_branch_persistence_min.txt',2,349,6.34545,11,0.381818
't37_segment_branch_persistence_min.txt',2,174,3,4,0.172414
't38_segment_branch_persistence_min.txt',2,321,5.73214,14,0.160714
't39_segment_branch_persistence_min.txt',2,171,2.85,5,0.0833333
't40_segment_branch_persistence_min.txt',2,575,8.71212,13,0.287879
't41_segment_branch_persistence_min.txt',2,195,3.36207,5,-0.12069
't42_segment_branch_persistence_min.txt',2,152,2.98039,7,-0.0392157
't43_segment_branch_persistence_min.txt',2,1078,16.0896,27,-0.626866
't44_segment_branch_persistence_min.txt',2,1041,15.5373,28,-0.522388
't45_segment_branch_persistence_min.txt',2,492,7.80952,16,0.190476
